id,condition_expl,female,age10y,educ2,party,interest_politics2,interest_voted_2020_2,interest_news2,R_one,R_all,time,var,issue_name,rating,issue_num,time_post
1,0,b.Female,4.5,a.High school or less,b.Republican,1.3898955062695,b.No or don't remember,-1.2803097116638,1,1,pre,pos,nuc,7,1,FALSE
1,0,b.Female,4.5,a.High school or less,b.Republican,1.3898955062695,b.No or don't remember,-1.2803097116638,1,1,pre,pos,ss,3,2,FALSE
1,0,b.Female,4.5,a.High school or less,b.Republican,1.3898955062695,b.No or don't remember,-1.2803097116638,1,1,pre,pos,health,6,1,FALSE
1,0,b.Female,4.5,a.High school or less,b.Republican,1.3898955062695,b.No or don't remember,-1.2803097116638,1,1,pre,pos,cap,1,1,FALSE
1,0,b.Female,4.5,a.High school or less,b.Republican,1.3898955062695,b.No or don't remember,-1.2803097116638,1,1,pre,pos,tax,3,2,FALSE
1,0,b.Female,4.5,a.High school or less,b.Republican,1.3898955062695,b.No or don't remember,-1.2803097116638,1,1,pre,pos,teach,5,2,FALSE
1,0,b.Female,4.5,a.High school or less,b.Republican,1.3898955062695,b.No or don't remember,-1.2803097116638,1,1,post,pos,nuc,5,1,TRUE
1,0,b.Female,4.5,a.High school or less,b.Republican,1.3898955062695,b.No or don't remember,-1.2803097116638,1,1,post,pos,teach,3,2,TRUE
2,1,b.Female,2.7,c.Master's or doctoral degree,c.Independent,0.0199984964930867,a.Yes,1.20766802589564,1,0,pre,pos,nuc,6,1,FALSE
2,1,b.Female,2.7,c.Master's or doctoral degree,c.Independent,0.0199984964930867,a.Yes,1.20766802589564,1,0,pre,pos,ss,7,2,FALSE
2,1,b.Female,2.7,c.Master's or doctoral degree,c.Independent,0.0199984964930867,a.Yes,1.20766802589564,1,0,pre,pos,health,7,1,FALSE
2,1,b.Female,2.7,c.Master's or doctoral degree,c.Independent,0.0199984964930867,a.Yes,1.20766802589564,1,0,pre,pos,cap,2,1,FALSE
2,1,b.Female,2.7,c.Master's or doctoral degree,c.Independent,0.0199984964930867,a.Yes,1.20766802589564,1,0,pre,pos,tax,1,2,FALSE
